epoch,a_train,a_val,b_train,b_val,c_train,c_val
1,1.961,2.014,1.852,1.871,2.294,2.225
2,1.731,1.796,1.406,1.474,2.84,3.067
3,1.591,1.644,1.088,1.176,2.209,2.345
4,1.496,1.568,0.853,0.977,3.41,3.536
5,1.437,1.535,0.684,0.844,2.259,2.369
6,1.398,1.473,0.56,0.713,3.633,3.831
7,1.396,1.447,0.488,0.66,2.424,2.528
8,1.387,1.44,0.429,0.657,4.014,4.098
9,1.371,1.436,0.377,0.68,2.576,2.63
10,1.363,1.431,0.342,0.719,4.312,4.428
11,1.36,1.41,0.317,0.759,2.725,2.954
12,1.353,1.402,0.296,0.822,4.685,4.699
13,1.362,1.402,0.292,0.9,2.916,3.085
14,1.344,1.411,0.269,0.994,4.813,4.927
15,1.362,1.391,0.277,1.071,3.153,3.287
