gpu,framework,batch_size,hours,failed
t4,pytorch,16,6.3,0
h100,pytorch,32,3.7,0
a100,jax,64,4.4,0
h100,pytorch,256,5.1,0
h100,jax,256,7.7,1
t4,jax,64,7.8,1
h100,pytorch,16,5.5,0
a100,pytorch,32,1.0,0
h100,pytorch,32,9.1,0
l4,pytorch,64,1.8,1
t4,pytorch,64,3.8,1
l4,jax,64,5.6,1
t4,pytorch,256,9.0,1
a100,pytorch,128,8.9,1
t4,pytorch,64,12.2,1
a100,jax,64,4.9,0
l4,jax,256,1.9,1
h100,pytorch,64,5.6,0
a100,jax,32,11.0,0
l4,jax,16,3.5,1
h100,jax,16,4.0,0
l4,pytorch,256,1.4,1
h100,pytorch,64,2.7,0
a100,pytorch,256,9.2,1
l4,pytorch,256,7.4,0
h100,pytorch,16,3.9,0
l4,jax,32,0.7,1
l4,jax,128,5.1,1
t4,pytorch,16,1.0,1
h100,jax,256,6.9,0
a100,pytorch,32,1.7,0
l4,pytorch,256,4.4,0
t4,jax,16,4.3,0
t4,pytorch,128,2.2,1
t4,jax,256,16.9,1
l4,pytorch,32,3.1,0
h100,pytorch,256,2.6,0
h100,jax,256,4.9,1
a100,pytorch,16,10.2,0
a100,jax,32,11.3,0
h100,pytorch,256,8.9,0
h100,jax,256,5.0,0
l4,pytorch,32,4.6,0
l4,pytorch,128,2.3,1
l4,pytorch,64,2.5,0
t4,pytorch,128,8.5,1
t4,pytorch,64,10.2,1
t4,pytorch,256,2.6,1
t4,pytorch,64,10.6,1
h100,pytorch,256,6.6,0
t4,pytorch,32,7.9,1
t4,pytorch,64,2.4,1
a100,pytorch,128,3.3,0
h100,jax,64,5.8,0
l4,jax,256,7.9,1
l4,pytorch,256,8.5,1
l4,pytorch,256,10.1,1
a100,pytorch,64,4.3,0
h100,pytorch,256,6.9,0
a100,pytorch,256,12.2,1
t4,jax,32,5.8,1
a100,pytorch,32,2.2,1
h100,jax,16,3.3,0
t4,pytorch,32,1.9,0
l4,pytorch,16,0.5,0
l4,pytorch,32,9.1,1
h100,jax,64,4.2,0
t4,jax,32,20.2,1
l4,jax,256,16.7,1
l4,pytorch,64,4.6,0
h100,pytorch,32,1.2,0
h100,jax,32,2.5,0
l4,pytorch,16,2.8,0
l4,pytorch,16,9.0,0
t4,jax,32,5.4,1
l4,jax,32,1.7,1
h100,jax,128,1.8,0
t4,pytorch,16,5.8,1
a100,pytorch,256,6.6,0
h100,jax,32,1.5,0
h100,jax,128,5.9,0
t4,pytorch,32,17.0,1
h100,pytorch,32,7.3,0
l4,pytorch,256,6.3,1
a100,pytorch,32,6.9,1
t4,jax,64,1.4,1
h100,pytorch,32,12.0,0
h100,pytorch,64,9.0,0
a100,pytorch,32,13.4,0
l4,pytorch,256,2.8,1
l4,pytorch,128,3.8,0
h100,jax,64,1.2,0
t4,jax,32,11.2,1
l4,pytorch,32,6.5,1
a100,jax,16,2.7,0
a100,pytorch,64,5.5,0
h100,pytorch,256,13.6,1
a100,pytorch,256,1.0,1
l4,jax,256,4.4,1
a100,pytorch,32,2.5,0
l4,jax,16,4.5,0
l4,pytorch,128,2.2,1
l4,pytorch,64,9.3,1
h100,pytorch,64,3.6,0
h100,pytorch,64,1.3,0
t4,jax,64,7.8,1
h100,pytorch,32,1.9,0
t4,pytorch,128,1.0,1
h100,pytorch,32,4.0,0
h100,pytorch,64,8.4,0
l4,jax,16,6.1,0
t4,pytorch,16,0.3,0
t4,pytorch,16,3.5,1
l4,pytorch,32,5.1,0
a100,jax,16,4.0,0
t4,pytorch,16,18.9,1
t4,pytorch,256,6.0,1
h100,pytorch,256,0.3,0
h100,pytorch,128,4.0,0
a100,pytorch,128,2.8,0
t4,pytorch,32,1.1,0
a100,pytorch,256,3.9,1
h100,pytorch,16,3.9,0
a100,jax,32,6.7,0
t4,pytorch,32,11.8,0
l4,pytorch,64,2.9,0
a100,pytorch,16,6.1,0
a100,jax,64,11.5,0
a100,pytorch,32,9.9,0
a100,pytorch,16,5.4,0
t4,pytorch,128,14.5,1
t4,pytorch,64,4.5,1
h100,pytorch,256,0.8,0
a100,jax,128,10.4,1
h100,pytorch,256,6.9,0
h100,jax,64,6.0,0
l4,jax,64,3.5,0
h100,jax,32,1.4,0
l4,jax,64,4.3,0
l4,pytorch,32,3.9,1
l4,pytorch,128,6.9,1
l4,pytorch,16,4.9,0
h100,pytorch,128,12.8,0
t4,pytorch,64,3.8,1
t4,pytorch,32,3.6,1
t4,pytorch,16,2.9,1
a100,pytorch,32,1.5,0
l4,jax,16,4.3,1
t4,pytorch,32,5.8,1
l4,jax,256,5.9,1
a100,jax,64,6.1,0
l4,pytorch,256,6.0,1
l4,pytorch,32,2.4,0
t4,jax,32,4.7,1
l4,jax,32,4.1,0
a100,pytorch,64,1.6,0
a100,jax,32,4.0,0
l4,pytorch,32,6.6,0
t4,pytorch,16,6.1,1
l4,pytorch,256,4.8,1
a100,pytorch,32,0.4,0
a100,jax,32,18.0,1
t4,pytorch,32,20.5,1
h100,pytorch,256,2.0,1
h100,pytorch,64,8.4,0
t4,pytorch,128,4.3,1
h100,jax,16,2.3,0
t4,pytorch,16,3.9,1
a100,pytorch,64,11.2,0
a100,jax,16,12.5,1
a100,pytorch,256,2.6,0
h100,pytorch,64,1.5,0
h100,jax,256,8.5,0
a100,jax,16,10.3,0
l4,pytorch,32,4.6,1
t4,jax,256,5.9,1
l4,pytorch,32,10.6,1
a100,pytorch,256,4.9,1
t4,pytorch,256,14.5,1
a100,pytorch,128,10.8,1
l4,jax,128,0.5,0
t4,pytorch,32,4.8,1
h100,jax,256,6.3,0
h100,pytorch,32,6.7,0
h100,jax,32,2.0,0
h100,pytorch,16,17.1,0
a100,pytorch,128,1.8,0
a100,pytorch,64,11.3,0
l4,pytorch,256,8.1,0
h100,jax,16,1.8,0
t4,pytorch,16,11.3,1
h100,jax,32,4.8,0
t4,pytorch,64,13.4,1
l4,jax,128,7.6,0
l4,jax,64,1.4,1
a100,pytorch,256,3.8,0
t4,pytorch,256,7.3,1
a100,jax,128,0.6,0
t4,pytorch,32,5.2,1
a100,pytorch,256,6.5,0
t4,pytorch,256,4.0,1
h100,jax,256,2.8,0
t4,pytorch,128,3.1,1
h100,pytorch,64,4.4,0
h100,pytorch,16,4.1,0
l4,pytorch,32,6.4,1
a100,jax,128,1.5,0
h100,pytorch,16,2.7,0
l4,pytorch,256,10.4,1
t4,pytorch,256,7.7,1
h100,pytorch,128,3.4,0
t4,pytorch,64,3.3,1
h100,jax,32,1.9,0
a100,pytorch,256,7.6,1
l4,pytorch,32,2.8,0
a100,pytorch,64,17.3,0
t4,pytorch,16,3.5,0
l4,pytorch,256,8.1,1
t4,pytorch,64,2.6,0
t4,pytorch,128,6.9,1
l4,jax,16,5.6,0
a100,pytorch,64,1.8,0
t4,jax,128,3.9,1
a100,pytorch,128,11.3,0
a100,pytorch,256,2.3,0
h100,pytorch,128,8.2,0
a100,jax,256,0.7,1
l4,pytorch,16,5.4,0
t4,pytorch,64,3.1,0
t4,pytorch,256,2.8,1
t4,pytorch,256,7.2,1
t4,jax,16,5.4,0
a100,jax,32,10.5,0
t4,jax,64,3.9,1
h100,pytorch,64,1.4,0
a100,pytorch,64,3.1,0
t4,pytorch,64,7.1,1
t4,jax,128,3.7,1
t4,jax,16,6.5,1
l4,pytorch,32,0.5,0
t4,jax,64,2.9,1
a100,pytorch,128,0.4,0
a100,jax,64,5.3,1
h100,pytorch,128,7.5,0
a100,pytorch,64,1.1,0
l4,pytorch,32,9.7,0
a100,pytorch,32,13.3,0
h100,pytorch,64,2.4,0
l4,jax,256,9.0,1
h100,jax,64,5.7,0
l4,pytorch,32,8.2,1
t4,pytorch,128,5.3,1
t4,pytorch,256,4.1,1
t4,jax,256,0.6,1
t4,pytorch,16,2.9,0
l4,jax,64,13.6,1
l4,pytorch,256,6.9,1
t4,pytorch,16,2.1,1
h100,pytorch,128,3.8,0
h100,pytorch,256,5.3,1
t4,jax,16,4.1,1
t4,pytorch,64,5.3,0
h100,pytorch,128,5.7,0
l4,jax,16,2.8,0
a100,pytorch,16,7.1,0
t4,pytorch,128,5.8,0
