mem_gb,batch_size,seq_len,oom
16,64,2048,yes
16,8,1024,yes
80,64,256,no
24,4,2048,no
40,32,256,no
40,32,512,no
40,4,512,no
16,16,512,yes
24,8,4096,yes
16,16,1024,yes
24,8,512,no
80,64,1024,yes
40,64,2048,yes
16,4,2048,yes
40,32,2048,yes
16,32,4096,yes
80,4,4096,no
80,16,4096,yes
80,8,2048,no
40,16,512,no
80,4,512,no
24,16,512,no
16,4,1024,no
40,4,4096,yes
24,64,2048,yes
40,16,512,no
80,8,2048,no
24,64,4096,yes
80,8,256,no
16,4,256,no
24,64,1024,yes
80,4,1024,no
16,64,256,yes
40,4,1024,no
24,64,1024,yes
40,16,4096,yes
80,4,1024,no
80,64,4096,yes
80,16,1024,no
40,4,256,no
80,32,2048,yes
80,64,2048,yes
16,4,1024,no
16,16,2048,yes
24,64,512,yes
40,4,256,no
80,32,512,no
24,16,4096,yes
80,4,4096,no
24,8,1024,no
80,64,512,no
40,32,4096,yes
40,64,4096,yes
16,16,256,no
40,4,2048,no
80,8,1024,no
80,8,4096,no
80,8,512,no
80,4,1024,no
16,64,2048,yes
80,4,2048,no
24,32,2048,yes
40,32,512,no
24,16,1024,yes
16,32,4096,yes
16,16,512,yes
80,16,512,no
80,32,1024,no
24,16,1024,yes
24,64,512,yes
16,64,4096,yes
16,4,4096,yes
80,64,,no
40,4,1024,no
16,8,2048,yes
16,8,1024,yes
40,64,4096,yes
80,16,512,no
80,32,4096,yes
16,4,512,no
40,32,,yes
16,4,4096,yes
16,8,512,no
16,8,512,no
24,64,256,yes
24,8,4096,yes
40,32,256,no
24,32,1024,yes
24,32,512,yes
80,32,4096,yes
40,64,2048,yes
40,4,256,no
40,32,2048,yes
24,4,4096,yes
80,32,1024,no
16,16,,yes
24,64,2048,yes
16,64,1024,yes
16,4,4096,yes
80,64,2048,yes
16,4,256,no
24,8,2048,yes
80,16,1024,no
40,64,1024,yes
80,8,1024,no
16,64,2048,yes
24,8,256,no
16,16,512,yes
16,64,2048,yes
80,32,256,no
16,32,256,yes
40,8,2048,no
16,4,256,no
24,4,1024,no
80,8,2048,no
24,16,4096,yes
24,64,4096,yes
16,4,512,no
80,4,,no
16,32,4096,yes
24,8,2048,yes
16,64,4096,yes
16,16,2048,yes
80,64,4096,yes
16,16,1024,yes
24,16,4096,yes
24,32,512,yes
